name,N,ll_mkt,ll_model,gap,rmse,draw_mod,draw_act
1. Market,3831,0.9982070365397486,1.0027361171277247,-0.004529080587976075,1.5524757506883355,0.2436017510718726,0.26964239102062126
2. Pure ratings (w=0.0),3722,0.997834473523354,1.0960806954526254,-0.09824622192927146,1.7763284174301186,0.22593368695420243,0.26947877485223
Blend (w=0.5),3722,0.997834473523354,1.02996165675479,-0.03212718323143604,1.6074091584956247,0.23679950495312577,0.26947877485223
Blend (w=0.7),3722,0.997834473523354,1.0120625543967066,-0.014228080873352589,1.5695457107142659,0.24041034334657144,0.26947877485223
Blend (w=0.8),3722,0.997834473523354,1.0065767288384027,-0.008742255315048686,1.55773695324032,0.2418286833606649,0.26947877485223
Blend (w=0.9),3722,0.997834473523354,1.0034423235140266,-0.005607849990672653,1.5508360217003163,0.24290863916190708,0.26947877485223
Blend (w=0.92),3722,0.997834473523354,1.0030945689977155,-0.00526009547436157,1.5500513633860986,0.24307282905340125,0.26947877485223
Blend (w=0.95),3722,0.997834473523354,1.0027451824935374,-0.0049107089701834195,1.5492483077370642,0.24328594589656635,0.26947877485223
Blend (w=0.97),3722,0.997834473523354,1.0026228520315341,-0.004788378508180147,1.5489625267521456,0.24340361425151066,0.26947877485223
Blend (w=0.98),3722,0.997834473523354,1.0025951166955707,-0.004760643172216694,1.5488945617791958,0.243455208451459,0.26947877485223
Blend (w=0.99),3722,0.997834473523354,1.0025892225412765,-0.004754749017922499,1.5488765575307744,0.24350173103624992,0.26947877485223
Blend (w=1.0),3722,0.997834473523354,1.002605534399417,-0.004771060876062938,1.5489085157490863,0.24354333730780595,0.26947877485223
4. Elo (K=0.05),3831,0.9982070365397486,1.0353177850048387,-0.037110748465090104,1.6172380606185626,0.24975649229278035,0.26964239102062126
5. Seeded ratings,3722,0.997834473523354,1.0604749407373717,-0.06264046721401773,1.6739997469626569,0.2362290207347706,0.26947877485223
