team,p_advance,p_r16,p_qf,p_sf,p_final,p_champ
Brazil,0.9907,0.7416,0.5653,0.4003,0.2653,0.1734
Spain,0.9891,0.7255,0.4956,0.365,0.2325,0.1421
Argentina,0.9802,0.6352,0.4629,0.3082,0.1848,0.1097
England,0.975,0.7005,0.4906,0.2861,0.1714,0.094
France,0.934,0.6505,0.381,0.2329,0.1257,0.0638
Portugal,0.9374,0.6398,0.4008,0.2332,0.1247,0.0636
Belgium,0.9427,0.6351,0.4063,0.1966,0.1024,0.0488
Colombia,0.9047,0.5669,0.3282,0.1808,0.09,0.0424
Germany,0.9586,0.6467,0.3325,0.1808,0.0838,0.0374
Morocco,0.9107,0.5044,0.309,0.1577,0.0715,0.0321
Netherlands,0.8705,0.417,0.2757,0.1433,0.0659,0.0267
Uruguay,0.9098,0.455,0.2515,0.1301,0.0597,0.0244
Switzerland,0.9386,0.6002,0.2684,0.1199,0.0488,0.0212
Croatia,0.9025,0.5054,0.2582,0.1176,0.053,0.0197
Japan,0.7956,0.3486,0.2105,0.0973,0.041,0.0177
Ecuador,0.885,0.4832,0.2113,0.0997,0.0397,0.0146
Senegal,0.758,0.389,0.1679,0.0694,0.0282,0.0092
Iran,0.7977,0.4018,0.1762,0.0657,0.0247,0.008
Mexico,0.9239,0.5426,0.2142,0.072,0.0259,0.0074
Norway,0.717,0.3532,0.131,0.0519,0.0157,0.0061
Canada,0.94,0.5169,0.1776,0.0629,0.0208,0.0059
Australia,0.7131,0.3469,0.1412,0.0454,0.0152,0.0048
Egypt,0.6752,0.2911,0.1061,0.0348,0.0108,0.0031
Austria,0.6878,0.2182,0.0803,0.0284,0.0104,0.0029
USA,0.8232,0.389,0.1369,0.0378,0.0115,0.0028
South Korea,0.7371,0.3754,0.1243,0.0368,0.0103,0.0026
Sweden,0.5716,0.1875,0.0899,0.0292,0.0088,0.0026
Algeria,0.6932,0.2118,0.081,0.0298,0.0084,0.0022
Paraguay,0.6054,0.2524,0.0926,0.0262,0.0093,0.0021
Ivory Coast,0.6982,0.2681,0.0853,0.0275,0.008,0.0019
Czech Republic,0.6553,0.2996,0.0904,0.0219,0.0057,0.0015
Tunisia,0.4828,0.1444,0.0667,0.0217,0.0062,0.0015
Turkey,0.6023,0.2435,0.0806,0.0216,0.0055,0.0014
Scotland,0.5889,0.1669,0.0653,0.0194,0.0047,0.0009
DR Congo,0.361,0.0868,0.0216,0.0054,0.0017,0.0003
South Africa,0.4052,0.1371,0.0299,0.0061,0.0013,0.0003
Iraq,0.2911,0.0824,0.0181,0.0036,0.0007,0.0002
Saudi Arabia,0.4246,0.101,0.0281,0.0069,0.0014,0.0002
Uzbekistan,0.414,0.1104,0.0305,0.0068,0.0013,0.0002
Ghana,0.3934,0.1042,0.0214,0.004,0.0008,0.0001
Haiti,0.1534,0.0208,0.0034,0.0004,0.0001,0.0001
New Zealand,0.271,0.0628,0.0118,0.0024,0.0006,0.0001
Bosnia & Herzegovina,0.4787,0.1631,0.0311,0.0053,0.0011,0.0
Cape Verde,0.2168,0.0346,0.0071,0.0011,0.0001,0.0
Curaçao,0.1692,0.027,0.003,0.0002,0.0,0.0
Jordan,0.2963,0.0526,0.0123,0.0014,0.0001,0.0
Panama,0.3207,0.078,0.0147,0.0029,0.0004,0.0
Qatar,0.3088,0.0853,0.0117,0.0016,0.0001,0.0
